Generator,MaxCap,MinStable,MinUpTime,MinDownTime,DownHrInitial,MaxRampUpTime,MaxRampDownTime
ReEDS_re-ct_p63_14,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_gas-cc_re-cc_p62_4,472.2,236.1,6,8,10000,23.61,23.61
ReEDS_re-ct_p63_111,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_184,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_171,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_32,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_214,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_190,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_gas-cc_re-cc_p63_6,322.7,161.35,6,8,10000,16.135,16.135
ReEDS_gas-ct_re-ct_p63_1,75,45,0,0,10000,6,6
ReEDS_re-ct_p63_29,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_gas-cc_re-cc_p64_4,330.25,165.125,6,8,10000,16.5125,16.5125
ReEDS_re-ct_p63_75,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_78,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_191,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_84,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_106,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_76,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_169,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_199,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_74,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_145,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_gas-cc_re-cc_p63_34,339.5654,169.7827,6,8,10000,16.97827,16.97827
ReEDS_re-ct_p63_27,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_gas-cc_re-cc_p60_1,212,106,6,8,10000,10.6,10.6
ReEDS_re-ct_p63_103,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_240,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_202,53.1778,31.9067,0,0,10000,4.254225,4.254225
