Generator,Startup,Fuel_Price,VOM,HeatRate
ReEDS_gas-cc_re-cc_p62_4,36623.0987,14.778,8.461974,15.0359
ReEDS_gas-cc_re-cc_p63_6,25072.5478,14.778,6.894084,13.107
ReEDS_gas-ct_re-ct_p63_1,5086.6931,14.778,47.850993,15.6536
ReEDS_gas-cc_re-cc_p64_4,25910.0794,14.778,8.325685,13.2834
ReEDS_gas-cc_re-cc_p63_34,26943.2971,14.778,3.661136,11.691
ReEDS_gas-cc_re-cc_p60_1,16806.1289,14.778,8.967886,15.5195
ReEDS_lfill-gas_p63_3,65.3686,0,4.46188,9.1444
ReEDS_gas-cc_re-cc_p63_33,26776.4191,14.778,3.598112,11.8958
ReEDS_gas-cc_re-cc_p63_20,26124.4358,14.778,5.349332,13.6121
ReEDS_gas-cc_re-cc_p63_27,26445.2615,14.778,5.889048,13.5969
ReEDS_gas-cc_re-cc_p64_2,26009.9088,14.778,8.303185,12.9578
ReEDS_gas-ct_re-ct_p64_1,16441.7371,14.778,5.578136,13.2621
ReEDS_gas-cc_re-cc_p67_10,29936.6236,14.778,5.618149,17.5197
ReEDS_gas-cc_re-cc_p63_4,25993.0617,14.778,6.840639,12.9946
ReEDS_gas-cc_re-cc_p63_28,25568.6182,14.778,5.861133,13.6634
ReEDS_gas-cc_re-cc_p65_4,30334.0686,14.778,6.984742,13.1397
ReEDS_gas-cc_re-cc_p63_31,6022.2283,14.778,11.919074,21.6797
ReEDS_gas-cc_re-cc_p67_12,35345.963,14.778,9.478647,20.0073
ReEDS_gas-cc_re-cc_p63_30,18463.6427,14.778,10.019509,15.3717
ReEDS_lfill-gas_p64_2,16.7004,0,4.524562,9.1364
ReEDS_gas-cc_re-cc_p62_2,26513.6511,14.778,9.633177,13.2023
ReEDS_gas-cc_re-cc_p67_13,54006.0929,14.778,3.631274,11.8034
ReEDS_gas-cc_re-cc_p65_2,30870.5215,14.778,6.795449,13.4658
ReEDS_gas-cc_re-cc_p63_21,26161.6413,14.778,5.30765,13.2254
ReEDS_gas-cc_re-cc_p67_6,27053.3508,14.778,3.801079,17.3837
ReEDS_gas-cc_re-cc_p67_7,27039.3929,14.778,3.830551,17.277
ReEDS_gas-cc_re-cc_p62_1,26825.0121,14.778,9.555787,13.0924
ReEDS_gas-cc_re-cc_p63_18,25472.3058,14.778,5.369793,13.3923
ReEDS_gas-ct_re-ct_p63_3,16804.6523,14.778,3.633506,11.842
ReEDS_gas-cc_re-cc_p64_6,26316.4724,14.778,8.187262,13.3716
