Generator,Startup,Fuel_Price,VOM,HeatRateBase,HeatRateIncr
ReEDS_re-ct_p63_14,3724.6989,14.778,3.690148,24.972085,11.531991
ReEDS_re-ct_p63_111,3691.1823,14.778,3.704782,25.184673,11.630164
ReEDS_re-ct_p63_184,3708.6215,14.778,3.609759,24.847843,11.474617
ReEDS_re-ct_p63_171,3696.0078,14.778,3.691699,25.286751,11.677303
ReEDS_re-ct_p63_32,3683.652,14.778,3.714271,24.679805,11.397018
ReEDS_re-ct_p63_214,3661.7107,14.778,3.658879,24.687899,11.400756
ReEDS_re-ct_p63_190,3695.4129,14.778,3.591818,24.67085,11.392882
ReEDS_re-ct_p63_29,3608.0764,14.778,3.681578,25.201856,11.638099
ReEDS_re-ct_p63_75,3647.1076,14.778,3.587265,24.731658,11.420963
ReEDS_re-ct_p63_78,3717.6339,14.778,3.588531,24.609016,11.364328
ReEDS_re-ct_p63_191,3670.2528,14.778,3.612433,25.017211,11.55283
ReEDS_re-ct_p63_84,3719.2506,14.778,3.690986,25.057679,11.571518
ReEDS_re-ct_p63_106,3688.1511,14.778,3.6942,25.024519,11.556205
ReEDS_re-ct_p63_76,3639.4385,14.778,3.613219,24.703546,11.407981
ReEDS_re-ct_p63_169,3700.6903,14.778,3.652086,25.360762,11.71148
ReEDS_re-ct_p63_199,3661.004,14.778,3.698454,25.163129,11.620215
ReEDS_re-ct_p63_74,3738.951,14.778,3.68959,25.491752,11.771971
ReEDS_re-ct_p63_145,3722.0638,14.778,3.65847,25.171179,11.623932
ReEDS_re-ct_p63_27,3693.4978,14.778,3.636571,24.825019,11.464077
ReEDS_re-ct_p63_103,3697.3249,14.778,3.68434,25.436381,11.746401
ReEDS_re-ct_p63_240,3678.6396,14.778,3.716447,25.15117,11.614692
ReEDS_re-ct_p63_202,3676.9436,14.778,3.608051,24.977116,11.534315
ReEDS_re-ct_p63_85,3721.3856,14.778,3.672666,24.653256,11.384758
ReEDS_re-ct_p63_165,3734.1707,14.778,3.684871,25.044156,11.565274
ReEDS_re-ct_p63_101,3686.1393,14.778,3.649604,25.275308,11.672018
ReEDS_re-ct_p63_1,3719.2173,14.778,3.635915,24.709865,11.410899
ReEDS_re-ct_p63_54,3656.9251,14.778,3.65902,25.189891,11.632573
ReEDS_re-ct_p63_49,3689.694,14.778,3.712384,24.820961,11.462203
ReEDS_re-ct_p63_67,3642.7595,14.778,3.628046,25.113729,11.597402
ReEDS_re-ct_p63_131,3715.1944,14.778,3.658255,25.26942,11.6693
ReEDS_re-ct_p63_70,3696.9127,14.778,3.627055,24.687395,11.400523
ReEDS_re-ct_p63_98,3634.1348,14.778,3.601312,25.507604,11.779291
ReEDS_re-ct_p63_128,3725.1123,14.778,3.585403,24.727554,11.419068
ReEDS_re-ct_p63_28,3715.1205,14.778,3.579,24.666505,11.390876
ReEDS_re-ct_p63_36,3615.1443,14.778,3.685003,25.002032,11.545821
ReEDS_re-ct_p63_94,3638.6407,14.778,3.626916,25.312286,11.689094
ReEDS_re-ct_p63_223,3666.0771,14.778,3.716607,25.350641,11.706807
ReEDS_re-ct_p63_81,3737.6724,14.778,3.639787,24.974293,11.533011
ReEDS_re-ct_p63_3,3643.5264,14.778,3.717313,24.686181,11.399962
ReEDS_re-ct_p63_130,3601.8688,14.778,3.701179,24.826915,11.464952
ReEDS_re-ct_p63_108,3607.0025,14.778,3.687991,25.178187,11.627168
ReEDS_re-ct_p63_117,3622.5232,14.778,3.705988,24.774167,11.440594
ReEDS_re-ct_p63_20,3727.0848,14.778,3.609956,25.323853,11.694436
ReEDS_re-ct_p63_99,3648.7692,14.778,3.632022,25.003459,11.54648
ReEDS_re-ct_p63_150,3651.2837,14.778,3.603571,24.702501,11.407499
ReEDS_re-ct_p63_58,3689.1354,14.778,3.683633,24.870779,11.485209
ReEDS_re-ct_p63_213,3726.0918,14.778,3.676648,24.9948,11.542481
ReEDS_re-ct_p63_242,3732.9063,14.778,3.632887,24.788093,11.447025
ReEDS_re-ct_p63_64,3688.1267,14.778,3.618445,24.726073,11.418384
ReEDS_re-ct_p63_181,3663.395,14.778,3.7009,24.791603,11.448646
ReEDS_re-ct_p63_218,3728.5653,14.778,3.697651,25.462615,11.758516
ReEDS_re-ct_p63_53,3598.5068,14.778,3.691883,24.736085,11.423008
ReEDS_re-ct_p63_12,3727.0331,14.778,3.635879,24.632349,11.375103
ReEDS_re-ct_p63_77,3660.6061,14.778,3.715694,25.095692,11.589073
ReEDS_re-ct_p63_215,3730.9856,14.778,3.579278,25.516325,11.783319
ReEDS_re-ct_p63_159,3601.8415,14.778,3.634456,25.326564,11.695688
ReEDS_re-ct_p63_62,3708.5035,14.778,3.656768,24.541948,11.333356
ReEDS_re-ct_p63_249,3600.4437,14.778,3.659546,25.307389,11.686833
ReEDS_re-ct_p63_226,3599.6271,14.778,3.657011,25.226234,11.649356
ReEDS_re-ct_p63_217,3719.3962,14.778,3.703386,24.87872,11.488876
ReEDS_re-ct_p63_244,3641.1912,14.778,3.61605,24.736401,11.423154
ReEDS_re-ct_p63_23,3617.4387,14.778,3.702552,24.62667,11.372481
ReEDS_re-ct_p63_228,3612.6058,14.778,3.627607,24.969645,11.530865
ReEDS_re-ct_p63_44,3638.9419,14.778,3.596065,25.371532,11.716454
ReEDS_re-ct_p63_90,3649.1846,14.778,3.687126,25.01323,11.550992
