Generator,Rating,,,Generator,Rating,,,Plexos,Rating,,Plexos,Rating
,,,,ReEDS_wind-ons-4_p63_s167,702.6102,,,,,,ReEDS_wind-ons-4_p63_s167,702.6102
,,,,ReEDS_wind-ons-4_p63_s169,2644.0393,,,,,,ReEDS_wind-ons-4_p63_s169,2644.0393
,,,,ReEDS_wind-ons-4_p64_s171,4791.1933,,,,,,ReEDS_wind-ons-4_p64_s171,4791.1933
,,,,ReEDS_wind-ons-4_p65_s172,220.5711,,,,,,ReEDS_wind-ons-4_p65_s172,220.5711
,,,,ReEDS_wind-ons-5_p60_s165,3168.0345,,,,,,ReEDS_wind-ons-5_p60_s165,3168.0345
,,,,ReEDS_wind-ons-5_p61_s166,396.9473,,,,,,ReEDS_wind-ons-5_p61_s166,396.9473
,,,,ReEDS_wind-ons-5_p62_s164,211.575,,,,,,ReEDS_wind-ons-5_p62_s164,211.575
,,,,ReEDS_wind-ons-5_p63_s167,3640.6873,,,,,,ReEDS_wind-ons-5_p63_s167,3640.6873
,,,,ReEDS_wind-ons-5_p63_s168,305.1,,,,,,ReEDS_wind-ons-5_p63_s168,305.1
,,,,ReEDS_wind-ons-5_p63_s169,1859.9444,,,,,,ReEDS_wind-ons-5_p63_s169,1859.9444
,,,,ReEDS_wind-ons-5_p65_s172,1997.46,,,,,,ReEDS_wind-ons-5_p65_s172,1997.46
,,,,ReEDS_wind-ons-5_p65_s174,154.6452,,,,,,ReEDS_wind-ons-5_p65_s174,154.6452
,,,,ReEDS_wind-ons-6_p60_s165,591.5567,,,,,,ReEDS_wind-ons-6_p60_s165,591.5567
,,,,ReEDS_wind-ons-6_p61_s166,302.4827,,,,,,ReEDS_wind-ons-6_p61_s166,302.4827
,,,,ReEDS_wind-ons-6_p62_s164,60.925,,,,,,ReEDS_wind-ons-6_p62_s164,60.925
,,,,ReEDS_wind-ons-6_p63_s167,536,,,,,,ReEDS_wind-ons-6_p63_s167,536
,,,,ReEDS_wind-ons-6_p65_s172,3666.5526,,,,,,ReEDS_wind-ons-6_p65_s172,3666.5526
,,,,ReEDS_wind-ons-6_p65_s174,4625.0513,,,,,,ReEDS_wind-ons-6_p65_s174,4625.0513
,,,,ReEDS_wind-ons-7_p60_s165,85.4388,,,,,,ReEDS_wind-ons-7_p60_s165,85.4388
,,,,ReEDS_wind-ons-7_p61_s166,0.08,,,,,,ReEDS_wind-ons-7_p61_s166,0.08
,,,,ReEDS_wind-ons-7_p65_s172,3838.9272,,,,,,ReEDS_wind-ons-7_p65_s172,3838.9272
,,,,ReEDS_wind-ons-7_p65_s174,180,,,,,,ReEDS_wind-ons-7_p65_s174,180
,,,,ReEDS_wind-ons-8_p60_s165,0.035,,,,,,ReEDS_wind-ons-8_p60_s165,0.035
,,,,ReEDS_wind-ons-8_p61_s166,0.035,,,,,,ReEDS_wind-ons-8_p61_s166,0.035
